,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
849,No,,612.8571428571429,,3,3,,850,4,1,3,2, SALEs eXecuTivE ,1,Married,,"12870,00$",2,,14,"3,0",4,Full Time,1,"16,0",4,"3,0",6,0,5,1969,"59400,00$",0
850,No,travel_rarely,270.5238095238095, Research & Development ,4,4,,851,3,1,2,1, rESeArCH sCIeNtISt ,2,Married,"2185,00$","5681,00$",6,,21,"4,0",4,Part Time,0,,3,"3,0",3,1,1,1990,"26220,00$",1
851,No,travel_rarely,331.3968253968254,,2,3,,852,3,1,2,1, LabOraTory teChnICiAN ,4,Single,"2676,67$","6959,33$",7,,15,"3,0",2,Full Time,0,,3,"2,0",2,2,2,1971,"32120,00$",True
852,No,travel_rarely,290.03550973654063, Human Resources ,6,2,Medical,853,2,0,3,1, humAN resoURCEs ,3,Married,"2342,59$","6090,75$",8,,17,"3,0",4,Part Time,0,,2,"2,0",2,2,2,1964,"28111,13$",False
853,Yes,,290.03550973654063,,1,3,,854,4,0,2,1, lABorATORy tEChnIcian ,3,Single,"2342,59$","6090,75$",0,,14,"3,0",4,,0,"4,0",2,"1,0",3,1,2,1991,,True
854,No,,290.03550973654063,,-24,4,Medical,855,24,1,3,1, LaBoRaTOrY teChNICiaN ,3,Divorced,"2342,59$","6090,75$",7,No,14,"3,0",3,Part Time,3,"7,0",1,"3,0",3,1,2,1984,"28111,13$",0
855,No,non-travel,556.2566609977324,,26,4,Marketing,856,3,0,3,2, sALEs execUTiVE ,4,,"4492,84$","11681,39$",0,No,18,"3,0",1,Part Time,0,"4,0",2,"3,0",3,2,2,1991,"53914,11$",True
856,No,,1032.4872861766066,,3,4,Medical,857,2,0,3,3, REsearCH DirECtOR ,3,Divorced,"8339,32$","21682,23$",9,No,12,"3,0",1,Part Time,1,,3,"3,0",2,2,2,1992,"100071,84$",True
857,No,travel_rarely,300.3412698412698,,5,4,Life Sciences,858,3,1,2,1, ResEaRch sciEnTIsT ,4,Married,"2425,83$","6307,17$",1,,13,"3,0",3,Full Time,1,"2,0",2,"2,0",2,0,2,1990,"29110,00$",Yes
858,No,,556.2566609977324,,-23,4,Life Sciences,859,1,0,4,2, mANuFActUrIng DireCTor ,3,,"4492,84$","11681,39$",4,,17,"3,0",4,,1,"9,0",1,"3,0",3,0,2,1978,,Yes
859,No,,556.2566609977324, Research & Development ,17,2,,860,4,1,4,2, REseARCh scieNTIsT ,1,Single,,"11681,39$",3,Yes,13,"3,0",3,Part Time,0,,1,"3,0",3,0,2,1981,"53914,11$",True
860,No,,715.1031746031746,,-19,2,Marketing,861,4,0,3,2, sAleS ExeCUtIVe ,4,Divorced,,"15017,17$",2,No,14,"3,0",4,Full Time,1,,2,"3,0",3,0,2,1994,"69310,00$",0
861,No,travel_rarely,556.2566609977324,,1,3,,862,1,1,3,2, mAnUFacTuriNg dIRECTOR ,3,Married,"4492,84$","11681,39$",0,No,12,"3,0",4,,2,"5,0",3,"3,0",4,1,2,1998,"53914,11$",0
862,No,,224.5079365079365,,2,1,,863,4,0,2,2, lABoratorY TEChniciAN ,1,,"1813,33$","4714,67$",4,No,13,"3,0",4,Part Time,0,"9,0",5,"3,0",6,0,4,1991,"21760,00$",0
863,No,travel_rarely,290.03550973654063,,9,3,,864,4,0,3,1, rEsEarch ScIENTiSt ,4,Married,,"6090,75$",1,No,23,"4,0",4,,1,,3,,5,0,4,1995,"28111,13$",1
864,No,travel_rarely,333.25396825396825,,3,2,,865,4,0,2,1, reseArcH sciENTIst ,3,Single,,"6998,33$",1,No,17,"3,0",1,Full Time,0,,4,"4,0",3,1,0,2002,"32300,00$",0
865,No,non-travel,1032.4872861766066,,1,4,Medical,866,1,1,3,3, RESEarCh DireCTor ,4,divorced,"8339,32$","21682,23$",2,Yes,18,"3,0",1,Part Time,2,,2,"3,0",5,0,2,1986,"100071,84$",0
866,No,travel_rarely,556.2566609977324,,23,4,Life Sciences,867,4,0,3,2, HEaltHcARe REprEsEnTaTIVE ,4,,"4492,84$","11681,39$",9,,14,"3,0",2,Part Time,1,,2,"3,0",2,1,2,1985,"53914,11$",False
867,Yes,travel_rarely,290.03550973654063,,16,4,Medical,868,1,0,3,1, lABOratOry teCHNiCIan ,2,Divorced,"2342,59$","6090,75$",2,Yes,13,"3,0",4,Part Time,1,,2,"3,0",3,0,2,1997,"28111,13$",False
868,No,,1925.753968253968,,10,4,Life Sciences,869,3,1,3,5, ReSEaRCh DIrECTOr ,1,Single,"15554,17$","40440,83$",9,Yes,11,"3,0",4,Full Time,0,,4,"3,0",3,1,2,1974,"186650,00$",True
869,No,travel_frequently,287.75396825396825, Sales ,5,3,,870,4,1,3,1, SaLeS REPRESENtATIvE ,2,Divorced,,"6042,83$",1,,11,"3,0",3,Part Time,1,"2,0",5,"2,0",2,2,2,1992,"27890,00$",True
870,No,travel_frequently,290.03550973654063,,9,3,Medical,871,2,0,3,1, REseARch sCIENtIst ,4,Married,"2342,59$","6090,75$",1,,12,"3,0",3,Part Time,3,,3,"2,0",4,1,2,1986,"28111,13$",0
871,No,travel_rarely,290.03550973654063, Research & Development ,-11,4,,872,11,0,3,1, ResEArch SciEntiST ,4,Marreid,"2342,59$","6090,75$",0,,12,"3,0",3,Part Time,1,,4,"3,0",5,0,3,1992,"28111,13$",1
872,No,travel_rarely,661.3492063492064,,2,3,Human Resources,873,1,0,2,2, hUmAN rESOuRCEs ,1,,"5341,67$","13888,33$",3,No,12,"3,0",4,Full Time,0,,1,"3,0",2,1,0,1992,"64100,00$",False
873,No,,290.03550973654063, Research & Development ,2,4,,874,3,0,3,1, ReSEaRCh SCIEnTist ,4,,"2342,59$","6090,75$",0,,18,"3,0",2,Part Time,1,"3,0",2,"1,0",2,2,2,1992,"28111,13$",True
874,Yes,,509.78571428571433,,-17,4,Medical,875,17,0,2,2, reSeARcH SCienTist ,2,,"4117,50$","10705,50$",2,No,15,,1,Part Time,0,"11,0",3,"2,0",8,7,7,1971,"49410,00$",False
875,Yes,,290.03550973654063,,2,4,Medical,876,1,0,1,1, rESEARCH scieNTiST ,4,Married,"2342,59$","6090,75$",5,Yes,13,"3,0",4,,0,,4,"2,0",3,2,2,1995,,True
876,No,travel_rarely,1973.9841269841268,,5,5,,877,4,0,3,5, rEsEArcH dirECtoR ,3,Married,,"41453,67$",4,,11,"3,0",2,Full Time,1,"21,0",2,"3,0",3,1,1,1976,"191324,62$",False
877,No,,410.9444444444444,,9,5,Other,878,2,0,2,1, lAborATorY TecHNIciAN ,4,,"3319,17$","8629,83$",0,No,17,"3,0",3,Full Time,0,"4,0",2,,3,2,2,1994,"39830,00$",True
878,No,,654.8492063492064,,5,2,Medical,879,4,0,3,2, ManUFaCTURing dIRectOR ,4,,"5289,17$","13751,83$",7,No,16,"3,0",3,,2,"8,0",2,"2,0",6,0,4,1986,,Yes
879,No,,299.61904761904765,,26,1,,880,3,0,3,1, REsEaRch scIeNtIsT ,4,,"2420,00$","6292,00$",1,,12,"3,0",3,Full Time,2,,2,"2,0",4,0,2,2000,"29040,00$",0
880,No,travel_rarely,278.1587301587302, Human Resources ,2,1,,881,3,0,3,1, hUmAn REsOurCES ,3,Divorced,"2246,67$","5841,33$",0,Yes,11,"3,0",3,,1,"4,0",5,"3,0",3,1,0,1981,,False
881,No,,556.2566609977324, Sales ,25,2,,882,4,1,3,2, sALeS EXecuTIVe ,3,,"4492,84$","11681,39$",7,,12,"3,0",2,,1,"4,0",2,"4,0",2,2,2,1993,,0
882,Yes,,224.3015873015873,,-31,1,,883,1,1,2,1, sALEs rEPrESENtaTIVE ,2,Single,,"4710,33$",1,,11,"3,0",3,Part Time,0,"3,0",3,"3,0",3,1,2,2002,"21740,00$",Yes
883,No,travel_rarely,696.9444444444445,,1,4,Medical,884,4,0,3,2, heaLtHcare REpRESEntAtIvE ,3,,"5629,17$","14635,83$",2,No,11,"3,0",3,,0,,2,"3,0",3,1,2,1966,,1
884,No,,290.03550973654063,,9,2,,885,1,0,3,1, sALes rePrESenTaTiVe ,4,Single,"2342,59$","6090,75$",1,,24,"4,0",3,,0,"3,0",3,"2,0",3,2,2,2002,"28111,13$",1
885,No,travel_rarely,274.13492063492066,,9,4,Life Sciences,886,3,0,2,1, resEaRCH SCieNtiSt ,2,,"2214,17$","5756,83$",0,,16,"3,0",4,Part Time,0,"3,0",5,"3,0",2,2,2,1992,"26570,00$",True
886,No,,290.03550973654063, Research & Development ,-17,3,,887,17,0,3,1, ReseArCh SciENTIsT ,4,,"2342,59$","6090,75$",9,No,16,,4,Part Time,0,"6,0",4,"3,0",3,1,2,1994,"28111,13$",0
887,No,travel_rarely,290.03550973654063,,1,2,,888,4,0,3,1, LaBoRatORY TECHNiCian ,2,,"2342,59$","6090,75$",1,No,11,"3,0",2,Part Time,1,"5,0",2,"3,0",5,0,4,1996,"28111,13$",1
888,No,travel_rarely,1131.309523809524,,7,3,Other,889,2,0,2,3, hEalTHcare ReprEseNtAtIve ,3,Single,"9137,50$","23757,50$",8,No,24,"4,0",3,Full Time,0,,2,"3,0",5,0,0,1974,"109650,00$",Yes
889,No,travel_rarely,262.3730158730159,,2,3,,890,4,1,3,1, rESeaRCh ScIentISt ,3,Married,,"5509,83$",4,No,13,"3,0",2,Part Time,1,,3,"3,0",2,2,2,1987,"25430,00$",Yes
890,Yes,non-travel,547.2380952380953,,19,3,Marketing,891,1,0,4,2, sAleS EXeCUtiVe ,4,,"4420,00$","11492,00$",8,Yes,13,"3,0",2,Part Time,0,,3,"2,0",5,0,4,1989,"53040,00$",1
891,No,,556.2566609977324,,10,4,Marketing,892,4,1,3,2, SALES exeCuTIve ,3,Divorced,"4492,84$","11681,39$",1,Yes,12,"3,0",4,Part Time,1,,2,"4,0",5,0,3,1999,"53914,11$",True
892,No,,290.03550973654063,,1,4,,893,2,1,3,1, lABOrAToRY TECHnIciAN ,1,,,"6090,75$",3,No,16,"3,0",2,Part Time,1,"8,0",5,"3,0",5,1,2,1981,"28111,13$",Yes
893,No,,2002.2063492063487,,5,2,Medical,894,1,0,3,5, REsEarCh DirECtOr ,1,Married,"16171,67$","42046,33$",4,,11,"3,0",3,Full Time,1,"24,0",4,"2,0",4,1,2,1969,"194060,00$",0
894,No,,674.5555555555557,,4,4,,895,3,1,3,2, SaLes exEcUtiVE ,3,Married,"5448,33$","14165,67$",9,No,15,"3,0",1,Full Time,1,,3,"3,0",3,1,2,1989,"65380,00$",1
895,No,,232.968253968254,,21,3,,896,4,0,3,1, LABORATOry TecHNIciAN ,4,,"1881,67$","4892,33$",7,,20,"4,0",1,,1,,1,"3,0",3,1,2,1980,,True
896,No,travel_rarely,556.2566609977324,,8,4,Other,897,3,1,3,2, hEAlTHCaRe ReprESEnTaTive ,3,,"4492,84$","11681,39$",4,Yes,14,"3,0",4,Part Time,0,,3,"3,0",5,0,2,1980,"53914,11$",1
897,No,travel_rarely,228.84126984126985,,1,2,,898,4,0,2,1, LABOrAtORY teChNicIaN ,1,Married,,"4805,67$",1,No,12,"3,0",3,Part Time,1,"4,0",3,,4,3,2,1992,"22180,00$",0
898,Yes,travel_rarely,290.03550973654063,,3,3,Medical,899,1,0,3,1, LaBoRATorY tEChniCIAN ,1,Married,"2342,59$","6090,75$",5,No,13,"3,0",3,Part Time,1,"6,0",5,,2,0,2,1998,"28111,13$",Yes
899,No,,273.8253968253968,,10,2,Life Sciences,900,1,0,3,1, reseARch scIEnTIst ,4,Married,"2211,67$","5750,33$",3,No,21,,4,Part Time,2,"8,0",3,"2,0",2,0,2,1978,"26540,00$",1
900,No,travel_rarely,1582.7713464696226,,4,2,Life Sciences,901,4,1,3,4, MAnAGeR ,4,Married,"12783,92$","33238,20$",2,No,13,"3,0",4,Full Time,0,"31,0",2,"1,0",5,1,4,1971,"153407,07$",False
901,Yes,travel_frequently,290.03550973654063,,6,2,,902,4,1,1,1, saLES REPrEsentATivE ,3,,,"6090,75$",0,No,16,"3,0",4,Part Time,1,"3,0",3,"2,0",2,1,0,1989,"28111,13$",True
902,No,travel_rarely,290.03550973654063,,23,3,Life Sciences,903,1,1,3,1, REseARcH sCiENTist ,4,Divorced,"2342,59$","6090,75$",1,No,22,"4,0",2,Part Time,2,,3,"1,0",3,0,2,1997,"28111,13$",1
903,No,,1231.388888888889,,3,4,,904,2,0,2,3, rEseArch DiRECTOr ,3,,"9945,83$","25859,17$",1,No,18,"3,0",3,Full Time,0,,2,"3,0",10,0,7,1994,"119350,00$",Yes
904,Yes,,262.6825396825397,,25,5,Technical Degree,905,3,1,2,1, rEseARcH sCIENTIST ,2,Married,,"5516,33$",5,No,16,"3,0",2,Part Time,0,"6,0",2,"4,0",2,1,1,1994,"25460,00$",0
905,No,,1842.801587301588,,2,3,Life Sciences,906,1,0,3,4, RESEaRCh dIreCtOr ,3,Married,,"38698,83$",6,No,13,"3,0",3,Full Time,0,,2,"1,0",3,0,1,1977,"178610,00$",0
906,No,,1032.4872861766066,,10,3,Marketing,907,3,1,2,3, Sales EXeCutIvE ,4,,"8339,32$","21682,23$",2,,19,"3,0",3,,1,"15,0",3,"3,0",3,1,2,1977,,0
907,No,travel_rarely,290.03550973654063, Sales ,7,1,Marketing,908,4,0,3,1, sALes rEprESentAtIvE ,2,Single,,"6090,75$",0,,14,"3,0",1,Part Time,0,,3,"3,0",3,1,2,1993,"28111,13$",True
908,Yes,travel_frequently,1032.4872861766066, Human Resources ,23,3,,909,2,1,3,3, humaN reSOUrcEs ,1,Divorced,,"21682,23$",9,Yes,15,"3,0",3,Part Time,3,,2,"3,0",3,0,2,1989,"100071,84$",False
909,No,,290.03550973654063,,5,2,Other,910,2,0,3,1, lAbOratOrY teCHnICiaN ,3,Married,"2342,59$","6090,75$",4,No,17,"3,0",4,Part Time,1,,4,,2,2,0,1981,"28111,13$",Yes
910,Yes,,401.7619047619048, Research & Development ,-25,1,Technical Degree,911,3,0,2,1, lAboRatOrY TechNiCiAn ,3,Single,"3245,00$","8437,00$",5,No,16,"3,0",3,Full Time,0,"4,0",3,"3,0",2,1,2,2001,"38940,00$",1
911,No,travel_rarely,439.73015873015873,,19,3,Technical Degree,912,4,0,3,2, MAnUfACturINg DIrecTOR ,4,Divorced,,"9234,33$",4,No,12,"3,0",2,Part Time,2,"8,0",2,"4,0",3,1,2,1994,"42620,00$",Yes
912,No,travel_frequently,1086.1190476190477, Research & Development ,18,1,Medical,913,1,1,3,3, HeAlthcaRE rEPrEseNTaTIVE ,3,Married,,"22808,50$",5,No,11,"3,0",4,,0,,3,"2,0",2,1,2,1977,"105270,00$",1
913,Yes,,556.2566609977324, Sales ,11,4,Other,914,4,0,4,2, sALeS eXecuTIvE ,3,,,"11681,39$",8,,12,"3,0",4,Part Time,0,,2,"3,0",4,1,2,1991,"53914,11$",1
914,No,,247.6190476190476,,24,3,Medical,915,4,0,3,1, SALes REpResENTaTIVE ,4,,"2000,00$","5200,00$",0,No,13,"3,0",3,,2,"3,0",3,"3,0",2,2,1,1999,,0
915,No,travel_rarely,379.78571428571433,,25,2,,916,1,0,2,2, LabOrAtOrY TechNIcIaN ,4,Single,,"7975,50$",4,No,14,"3,0",4,Part Time,0,,3,"3,0",3,0,2,1988,"36810,00$",False
916,No,,556.2566609977324,,2,4,Life Sciences,917,3,1,3,2, healTHCaRe rePreSenTAtiVE ,4,Married,"4492,84$","11681,39$",1,No,13,"3,0",2,Part Time,2,"10,0",4,"3,0",10,2,2,1981,"53914,11$",1
917,No,travel_rarely,1582.7713464696226,,1,4,,918,4,1,2,4, ManageR ,1,Married,,"33238,20$",7,No,11,"3,0",1,Full Time,1,"21,0",3,"1,0",3,0,2,1975,"153407,07$",1
918,No,travel_rarely,556.2566609977324,,1,4,,919,1,1,2,2, hUMaN rESOuRCeS ,3,,"4492,84$","11681,39$",4,No,11,,2,Part Time,0,"10,0",1,"4,0",2,0,2,1979,"53914,11$",True
919,No,,290.03550973654063, Sales ,14,3,,920,3,1,3,1, SALeS RepREsEnTatiVe ,3,,"2342,59$","6090,75$",1,Yes,18,"3,0",4,Part Time,2,"8,0",3,"3,0",8,0,6,1989,"28111,13$",True
920,No,,355.6428571428571,,22,1,Technical Degree,921,3,0,3,1, SalES RePrESenTAtiVe ,3,,"2872,50$","7468,50$",1,,11,,3,Full Time,0,,2,"3,0",3,1,2,2002,"34470,00$",True
921,No,travel_rarely,2013.246031746032,,3,4,,922,4,0,3,5, MaNaGeR ,4,,"16260,83$","42278,17$",4,,12,"3,0",1,,1,"26,0",2,"4,0",2,0,1,1979,,Yes
922,No,travel_rarely,290.03550973654063,,6,1,Medical,923,1,0,3,1, rEsEArcH scIeNTiSt ,3,Married,"2342,59$","6090,75$",0,,20,"4,0",4,Part Time,0,,3,"3,0",2,2,2,2001,"28111,13$",True
923,No,travel_rarely,274.3412698412698,,6,3,,924,3,1,3,1, LABOraTOry TECHNiCIAn ,4,,"2215,83$","5761,17$",1,Yes,13,,3,,1,,2,"3,0",3,0,2,1997,,0
924,No,,912.7857142857142,,9,2,Medical,925,2,0,2,2, mAnuFACturiNG dIreCtoR ,2,,"7372,50$","19168,50$",2,Yes,11,"3,0",3,Full Time,1,"13,0",2,"3,0",3,0,2,1987,"88470,00$",1
925,No,,210.9920634920635,,3,4,Medical,926,1,0,2,1, researCh ScIeNtIsT ,4,Single,,"4430,83$",0,,13,"3,0",4,Part Time,0,"5,0",0,"3,0",4,1,1,1996,"20450,00$",True
926,No,travel_rarely,290.03550973654063,,4,3,,927,1,0,4,1, reSearCH sCIEnTIst ,1,,"2342,59$","6090,75$",2,,16,"3,0",1,Part Time,1,"5,0",3,"4,0",3,0,2,2000,"28111,13$",False
927,No,,500.5,,8,3,Life Sciences,928,4,0,4,2, SaLeS eXeCuTIve ,2,,"4042,50$","10510,50$",0,No,22,"4,0",3,Part Time,1,"4,0",4,"3,0",3,1,2,1998,"48510,00$",0
928,No,,837.7777777777778,,-14,1,,929,14,0,4,2, sAles EXEcuTIVE ,2,Marreid,,"17593,33$",3,,12,"3,0",4,Full Time,0,,3,"3,0",2,2,2,1975,"81200,00$",Yes
929,Yes,travel_rarely,472.23015873015873,,3,2,Life Sciences,930,1,1,3,2, SALes EXECUTivE ,3,Single,"3814,17$","9916,83$",9,No,14,"3,0",1,Part Time,0,,3,"3,0",2,2,0,1999,"45770,00$",Yes
930,No,travel_rarely,557.6587301587302,,16,4,,931,1,0,3,2, SaLES EXecutIvE ,1,Single,,"11710,83$",8,No,14,"3,0",4,Full Time,0,"10,0",1,"3,0",2,2,2,1963,"54050,00$",0
931,No,,290.03550973654063,,8,4,Marketing,932,4,0,3,1, SALES rEPrESENtaTIVE ,2,Married,"2342,59$","6090,75$",7,No,15,"3,0",4,Part Time,1,"4,0",2,"3,0",2,2,2,1973,"28111,13$",True
932,No,non-travel,382.57142857142856,,24,3,,933,1,0,1,1, lAboRATOrY tEChNiCiaN ,3,Single,,"8034,00$",2,,14,"3,0",3,Full Time,0,"9,0",5,"3,0",5,1,4,1979,"37080,00$",0
933,No,travel_frequently,1420.7142857142858,,3,3,,934,4,1,3,4, salES execUTiVe ,3,Divorced,"11475,00$","29835,00$",9,Yes,12,"3,0",4,Full Time,2,"28,0",2,"2,0",22,11,13,1976,"137700,00$",Yes
934,Yes,,290.03550973654063,,19,3,,935,3,0,4,1, resEarcH SCienTiSt ,3,Divorced,"2342,59$","6090,75$",6,,12,"3,0",4,Part Time,0,,2,"3,0",2,2,2,1981,"28111,13$",1
935,No,travel_frequently,556.2566609977324,,15,3,Life Sciences,936,4,0,2,2, sAleS ExeCUTIVE ,4,Married,"4492,84$","11681,39$",3,,18,,3,Part Time,1,"7,0",5,"3,0",2,2,2,1980,"53914,11$",True
936,No,,290.03550973654063,,2,1,,937,4,1,2,1, resEarcH sCiENTiST ,4,Single,"2342,59$","6090,75$",0,,20,"4,0",4,Part Time,0,"5,0",2,"2,0",4,2,3,1983,"28111,13$",0
937,No,,236.9920634920635, Sales ,10,3,,938,4,0,3,1, SaLes rePrESENTaTivE ,2,,"1914,17$","4976,83$",1,No,14,"3,0",4,,2,,2,"3,0",2,2,2,1994,,0
938,No,,252.7777777777778,,6,3,,939,4,0,3,2, laboraToRy tECHniCIaN ,4,Single,"2041,67$","5308,33$",2,,17,"3,0",4,Part Time,0,"19,0",4,"3,0",2,2,2,1970,"24500,00$",False
939,No,travel_rarely,290.03550973654063, Research & Development ,-12,1,Medical,940,1,0,4,1, rESEaRch sCientISt ,3,Single,"2342,59$","6090,75$",1,,18,"3,0",4,Part Time,0,,3,"3,0",2,0,2,2000,"28111,13$",0
940,Yes,,1973.9841269841268,,2,3,Medical,941,4,0,3,5, mANAgER ,1,,"15943,72$","41453,67$",5,Yes,13,"3,0",4,,1,"24,0",2,"3,0",5,1,4,1968,,False
941,No,travel_frequently,290.03550973654063,,1,2,Life Sciences,942,1,1,1,1, lABoRatory teCHNiCiaN ,4,,"2342,59$","6090,75$",3,No,14,"3,0",1,Part Time,1,,2,"3,0",2,2,0,1997,"28111,13$",1
942,No,travel_rarely,290.03550973654063,,1,4,,943,2,1,4,1, REseARCh SCiEntiST ,4,Single,"2342,59$","6090,75$",2,No,16,"3,0",3,,0,,2,"3,0",4,1,3,1989,,False
943,No,,447.984126984127,,8,1,Marketing,944,3,0,3,2, saLes eXECutIve ,4,Married,"3618,33$","9407,67$",0,,19,"3,0",2,Part Time,1,"5,0",3,"3,0",4,1,1,1996,"43420,00$",Yes
944,No,travel_rarely,265.3650793650794,,8,4,,945,1,1,3,1, SaLEs repreSentative ,4,,"2143,33$","5572,67$",1,No,16,"3,0",2,,1,"3,0",1,"2,0",3,0,2,1988,,True
945,No,travel_rarely,290.03550973654063,,-18,3,,946,4,0,1,1, LAbOratory TeChNicIAn ,3,Married,"2342,59$","6090,75$",3,No,21,,3,Part Time,2,"7,0",2,"3,0",2,0,2,1993,"28111,13$",Yes
946,No,,670.6349206349207,,8,2,,947,3,1,3,2, SAles ExECuTIve ,1,,"5416,67$","14083,33$",5,No,17,"3,0",2,,1,,1,"3,0",3,1,2,1989,,1
947,No,travel_rarely,324.8968253968254, Research & Development ,-25,4,Life Sciences,948,25,1,3,2, laBORatoRy TEcHnician ,3,,"2624,17$","6822,83$",8,,20,"4,0",2,Part Time,1,"9,0",3,"3,0",5,1,4,1971,"31490,00$",Yes
948,Yes,travel_rarely,549.3015873015873,,16,3,Marketing,949,1,1,3,2, SALeS eXEcuTive ,1,Single,"4436,67$","11535,33$",5,,15,"3,0",3,Part Time,0,,3,"3,0",3,0,2,1990,"53240,00$",False
949,No,travel_rarely,290.03550973654063, Research & Development ,-20,4,,950,20,1,4,1, ReSeaRch SCIentiST ,3,Single,,"6090,75$",3,No,13,"3,0",3,Part Time,0,"7,0",0,"3,0",2,2,2,1988,"28111,13$",False
950,Yes,,452.1111111111112,,2,4,,951,3,0,3,1, ReSEaRcH SCIeNtIsT ,3,Single,"3651,67$","9494,33$",6,No,17,"3,0",4,Full Time,0,"5,0",3,"2,0",2,2,1,1995,"43820,00$",1
951,No,travel_rarely,290.03550973654063,,13,3,Human Resources,952,3,0,3,1, humaN ReSOuRCes ,2,Married,"2342,59$","6090,75$",4,,13,"3,0",2,Part Time,1,,2,"3,0",5,0,4,1987,"28111,13$",1
952,No,travel_frequently,263.4047619047619, Research & Development ,16,4,,953,3,1,2,1, RESEarch ScieNtIst ,4,Single,"2127,50$","5531,50$",1,No,16,"3,0",3,Part Time,0,"6,0",3,"3,0",5,1,3,1989,"25530,00$",True
953,No,,290.03550973654063,,3,2,,954,3,0,3,1, humAn resourCeS ,4,,"2342,59$","6090,75$",0,,19,"3,0",3,,1,"4,0",1,"1,0",3,0,2,1989,,False
954,No,travel_rarely,612.1349206349206,,4,3,,955,4,0,3,2, HeALTHcARE RePrESEnTativE ,2,Single,"4944,17$","12854,83$",9,,12,"3,0",4,Full Time,0,"10,0",2,"2,0",5,2,3,1979,"59330,00$",Yes
955,No,,454.2777777777778,,13,4,Life Sciences,956,2,0,3,2, sAlES eXecUtivE ,4,Divorced,,"9539,83$",2,,11,"3,0",3,Part Time,1,"8,0",3,"2,0",5,0,3,1991,"44030,00$",True
956,No,,1128.1111111111113,,7,2,,957,1,1,2,3, sALes ExEcUtiVE ,4,Married,"9111,67$","23690,33$",7,Yes,18,"3,0",4,Full Time,1,"35,0",3,"3,0",5,0,4,1970,"109340,00$",0
957,No,,556.2566609977324,,1,2,Life Sciences,958,4,0,2,2, MANUfactUrING DIRECtOr ,4,,"4492,84$","11681,39$",6,,22,"4,0",1,Part Time,2,"4,0",2,"1,0",2,2,2,2001,"53914,11$",0
958,No,travel_rarely,290.03550973654063,,8,4,Life Sciences,959,1,0,4,1, LAbORaToRY TecHNICiAn ,4,,"2342,59$","6090,75$",2,Yes,24,"4,0",3,Part Time,1,"10,0",2,"2,0",3,0,2,1979,"28111,13$",False
959,Yes,travel_frequently,208.6190476190476,,25,4,Life Sciences,960,4,1,3,1, rEseArcH SCiEntist ,2,Divorced,"1685,00$","4381,00$",1,,19,"3,0",1,Part Time,1,"10,0",3,"2,0",10,7,8,1988,"20220,00$",True
960,No,,439.1111111111112,,4,1,,961,3,0,2,2, sAleS execUTIVE ,1,,"3546,67$","9221,33$",1,No,12,"3,0",1,Part Time,0,"5,0",1,"4,0",5,0,3,1998,"42560,00$",0
961,No,travel_rarely,369.3650793650794,,1,3,Technical Degree,962,3,1,3,1, ResEArch scIEntIsT ,1,,"2983,33$","7756,67$",2,No,16,"3,0",2,,1,"7,0",2,"3,0",4,0,2,1974,,False
962,No,non-travel,290.03550973654063,,-19,1,Life Sciences,963,1,0,2,1, labORatOry TEcHniCIAn ,4,,"2342,59$","6090,75$",0,,17,"3,0",4,Part Time,0,,2,"2,0",5,3,4,1999,"28111,13$",False
963,No,travel_rarely,299.10317460317464, Sales ,9,3,Marketing,964,2,0,2,1, sALeS RePresenTAtivE ,2,,"2415,83$","6281,17$",0,,19,"3,0",4,Full Time,1,"3,0",3,"3,0",2,1,2,1985,"28990,00$",1
964,Yes,travel_rarely,290.03550973654063,,1,3,Medical,965,2,1,2,1, sAlES REPreSentAtiVe ,3,,"2342,59$","6090,75$",6,Yes,19,"3,0",3,Part Time,3,"5,0",3,"3,0",3,0,2,1994,"28111,13$",0
965,No,travel_frequently,573.8571428571429,,1,3,Life Sciences,966,4,1,3,2, hEaLtHCaRE rEPReSeNTAtIvE ,4,Married,"4635,00$","12051,00$",4,,13,"3,0",2,,1,"12,0",2,"2,0",5,2,2,1980,,1
966,No,travel_rarely,556.2566609977324,,5,4,Medical,967,1,0,3,2, SAlES exEcuTiVE ,4,Single,,"11681,39$",1,,14,"3,0",2,Part Time,0,"4,0",3,"3,0",4,0,2,1995,"53914,11$",False
967,Yes,travel_rarely,290.03550973654063,,2,3,,968,3,1,2,1, SaLEs repReSEnTATiVE ,3,Single,"2342,59$","6090,75$",1,,13,"3,0",4,Part Time,0,"2,0",3,"2,0",2,0,2,2003,"28111,13$",1
968,No,,290.03550973654063,,2,4,Life Sciences,969,4,1,2,1, SALeS RePreSenTATiVe ,4,Single,"2342,59$","6090,75$",1,Yes,18,"3,0",1,,0,"3,0",3,"2,0",3,1,2,1976,,1
